Feature,True,Sig,SHAP_Rank,SHAP_Value,P_Value,P_Value_Adj,-log10(p),-log10(p_adj),SiTe_Score,SiTe_Rank
marital-status_ Married-civ-spouse,[T],***,5,0.0341,0.00e+00,0.00e+00,10.00,10.00,1.0617,1
hours-per-week,[T],***,6,0.0317,0.00e+00,0.00e+00,10.00,10.00,0.3870,2
occupation_ Exec-managerial,,***,7,0.0194,0.00e+00,0.00e+00,10.00,10.00,0.3767,3
marital-status_ Never-married,[T],***,10,0.0143,0.00e+00,0.00e+00,10.00,10.00,0.3750,4
age,[T],***,2,0.0387,0.00e+00,0.00e+00,10.00,10.00,0.3414,5
education-num,[T],***,31,0.0024,0.00e+00,0.00e+00,10.00,10.00,0.3175,6
capital-gain,,***,21,0.0055,0.00e+00,0.00e+00,10.00,10.00,0.1944,7
occupation_ Prof-specialty,,***,24,0.0046,2.22e-16,1.22e-15,10.00,10.00,0.1649,8
relationship_ Not-in-family,,***,23,0.0052,5.55e-17,3.82e-16,10.00,10.00,0.1576,9
capital-loss,,***,22,0.0054,7.21e-14,3.30e-13,10.00,10.00,0.1427,10
education_ HS-grad,,***,51,0.0000,1.67e-16,1.02e-15,10.00,10.00,0.1327,11
education_ Some-college,,***,32,0.0019,3.07e-13,1.30e-12,10.00,9.99,0.1177,12
sex_ Male,,***,49,0.0002,1.97e-14,9.83e-14,10.00,10.00,0.1122,13
education_ Bachelors,,***,52,0.0000,1.12e-10,4.42e-10,9.67,9.27,0.1004,14
occupation_ Craft-repair,,***,40,0.0008,4.92e-09,1.69e-08,8.30,7.77,0.0842,15
relationship_ Wife,,***,39,0.0009,1.32e-09,4.83e-09,8.85,8.31,0.0809,16
relationship_ Own-child,,***,33,0.0018,1.00e-08,3.25e-08,7.99,7.49,0.0542,17
relationship_ Unmarried,,***,38,0.0009,1.11e-07,3.38e-07,6.96,6.47,0.0507,18
occupation_ Sales,,***,28,0.0031,1.94e-05,5.32e-05,4.71,4.27,0.0333,19
occupation_ Other-service,,***,15,0.0108,1.05e-05,3.05e-05,4.98,4.52,0.0307,20
workclass_ State-gov,,***,37,0.0010,6.58e-04,0.0017,3.18,2.76,0.0149,21
workclass_ Private,,***,11,0.0133,0.0012,0.0031,2.91,2.51,0.0139,22
workclass_ Self-emp-not-inc,,***,27,0.0031,0.0179,0.0429,1.75,1.37,0.0071,23
education_ Prof-school,,,53,0.0000,0.1208,0.2768,0.92,0.56,0.0019,24
workclass_ Self-emp-inc,,,25,0.0035,0.1833,0.3878,0.74,0.41,0.0019,25
race_ White,,,12,0.0118,0.1833,0.3878,0.74,0.41,0.0012,26
occupation_ Transport-moving,,,50,0.0001,0.3542,0.7215,0.45,0.14,0.0005,27
workclass_ Local-gov,,,1,0.1062,0.4805,0.9439,0.32,0.03,0.0001,28
education_ 1st-4th,,,48,0.0003,1.0000,1.0000,-0.00,-0.00,-0.0000,29
workclass_ Without-pay,,,4,0.0375,1.0000,1.0000,-0.00,-0.00,-0.0000,30
education_ Preschool,,,44,0.0005,1.0000,1.0000,-0.00,-0.00,-0.0000,31
occupation_ Armed-Forces,,,47,0.0003,1.0000,1.0000,-0.00,-0.00,-0.0000,32
occupation_ Priv-house-serv,,,55,0.0000,1.0000,1.0000,-0.00,-0.00,-0.0000,33
marital-status_ Married-AF-spouse,,,14,0.0108,1.0000,1.0000,-0.00,-0.00,-0.0000,34
education_ 12th,,,3,0.0377,1.0000,1.0000,-0.00,-0.00,-0.0000,35
marital-status_ Married-spouse-absent,,,35,0.0012,1.0000,1.0000,-0.00,-0.00,-0.0000,36
marital-status_ Widowed,,,36,0.0012,1.0000,1.0000,-0.00,-0.00,-0.0000,37
race_ Black,,,34,0.0015,1.0000,1.0000,-0.00,-0.00,-0.0000,38
race_ Asian-Pac-Islander,,,20,0.0068,1.0000,1.0000,-0.00,-0.00,-0.0000,39
marital-status_ Separated,,,54,0.0000,1.0000,1.0000,-0.00,-0.00,-0.0000,40
race_ Other,,,8,0.0165,1.0000,1.0000,0.00,-0.00,-0.0000,41
relationship_ Other-relative,,,30,0.0029,1.0000,1.0000,0.00,-0.00,-0.0000,42
occupation_ Tech-support,,,18,0.0078,1.0000,1.0000,-0.00,-0.00,-0.0000,43
education_ 5th-6th,,,41,0.0007,1.0000,1.0000,0.00,-0.00,-0.0000,44
education_ 7th-8th,,,26,0.0033,0.9999,1.0000,0.00,-0.00,-0.0000,45
education_ Assoc-acdm,,,9,0.0158,1.0000,1.0000,0.00,-0.00,-0.0000,46
education_ Doctorate,,,42,0.0006,0.9955,1.0000,0.00,-0.00,-0.0000,47
occupation_ Handlers-cleaners,,,19,0.0072,0.9676,1.0000,0.01,-0.00,-0.0000,48
occupation_ Farming-fishing,,,17,0.0078,1.0000,1.0000,0.00,-0.00,-0.0000,49
occupation_ Machine-op-inspct,,,16,0.0097,0.9817,1.0000,0.01,-0.00,-0.0000,50
education_ 9th,,,45,0.0004,1.0000,1.0000,0.00,-0.00,-0.0000,51
education_ 11th,,,46,0.0004,0.8293,1.0000,0.08,-0.00,-0.0000,52
occupation_ Protective-serv,,,43,0.0005,0.9986,1.0000,0.00,-0.00,-0.0000,53
education_ Assoc-voc,,,29,0.0029,0.6756,1.0000,0.17,-0.00,-0.0000,54
education_ Masters,,,13,0.0112,0.9273,1.0000,0.03,-0.00,-0.0000,55
