Feature,True,Sig,SHAP_Rank,SHAP_Value,P_Value,P_Value_Adj,-log10(p),-log10(p_adj),SiTe_Score,SiTe_Rank
LSTAT,[T],***,3,0.5944,0.00e+00,0.00e+00,10.00,10.00,42.5658,1
RM,[T],***,12,0.0114,0.00e+00,0.00e+00,10.00,10.00,24.1442,2
CRIM,,***,9,0.0798,3.57e-13,1.55e-12,10.00,9.99,5.9404,3
DIS,,***,13,0.0105,3.61e-04,0.0012,3.44,2.93,1.1873,4
NOX,,***,5,0.3345,0.0012,0.0031,2.92,2.51,0.8384,5
PTRATIO,[T],***,2,2.4144,0.0019,0.0041,2.73,2.39,0.7387,6
CHAS,,,7,0.1702,1.0000,1.0000,-0.00,-0.00,-0.0000,7
ZN,,,4,0.4051,1.0000,1.0000,-0.00,-0.00,-0.0000,8
RAD,,,11,0.0560,1.0000,1.0000,0.00,-0.00,-0.0000,9
TAX,,,10,0.0610,1.0000,1.0000,0.00,-0.00,-0.0000,10
INDUS,[T],,6,0.3090,0.9999,1.0000,0.00,-0.00,-0.0000,11
B,,,8,0.1283,0.9578,1.0000,0.02,-0.00,-0.0000,12
AGE,,,1,4.2566,0.9476,1.0000,0.02,-0.00,-0.0000,13
