Feature,True,Sig,SHAP_Rank,SHAP_Value,P_Value,P_Value_Adj,-log10(p),-log10(p_adj),SiTe_Score,SiTe_Rank
checking_status_A14,[T],***,2,0.0427,0.00e+00,0.00e+00,10.00,10.00,0.5496,1
duration,[T],***,7,0.0201,0.00e+00,0.00e+00,10.00,10.00,0.4268,2
credit_history_A34,[T],***,11,0.0143,0.00e+00,0.00e+00,10.00,10.00,0.3359,3
other_payment_plans_A143,,***,23,0.0081,0.00e+00,0.00e+00,10.00,10.00,0.2573,4
employment_A72,,***,24,0.0078,5.55e-17,4.44e-16,10.00,10.00,0.2110,5
employment_A75,,***,32,0.0041,0.00e+00,0.00e+00,10.00,10.00,0.1903,6
housing_A153,,***,14,0.0113,1.73e-09,7.54e-09,8.74,8.12,0.1635,7
purpose_A49,,***,17,0.0102,2.68e-11,1.84e-10,9.90,9.55,0.1388,8
housing_A152,[T],***,29,0.0045,7.21e-11,4.32e-10,9.76,9.27,0.1356,9
installment_commitment,,***,1,0.0550,3.64e-10,1.75e-09,9.33,8.73,0.1245,10
credit_amount,[T],***,22,0.0082,1.10e-06,4.06e-06,5.96,5.39,0.1083,11
personal_status_A93,,***,21,0.0086,2.88e-10,1.53e-09,9.41,8.79,0.1078,12
employment_A73,,***,18,0.0100,9.01e-08,3.61e-07,7.04,6.44,0.0757,13
num_dependents,,***,3,0.0336,1.21e-05,3.88e-05,4.92,4.41,0.0498,14
telephone_A192,,***,34,0.0038,1.07e-05,3.67e-05,4.97,4.43,0.0469,15
checking_status_A12,,***,45,0.0005,1.62e-05,4.85e-05,4.79,4.31,0.0441,16
purpose_A43,,***,31,0.0044,1.08e-04,3.05e-04,3.97,3.52,0.0322,17
credit_history_A33,,***,20,0.0092,3.59e-04,9.57e-04,3.45,3.02,0.0302,18
purpose_A46,,***,47,0.0001,0.0041,0.0103,2.39,1.99,0.0194,19
credit_history_A32,,***,46,0.0004,0.0049,0.0118,2.31,1.93,0.0166,20
property_magnitude_A124,,***,19,0.0098,0.0153,0.0350,1.82,1.46,0.0160,21
residence_since,,,48,0.0001,0.0598,0.1305,1.22,0.88,0.0072,22
personal_status_A94,,,10,0.0145,0.4407,0.9198,0.36,0.04,0.0002,23
age,,,40,0.0026,0.4926,0.9851,0.31,0.01,0.0001,24
purpose_A48,,,42,0.0011,1.0000,1.0000,-0.00,-0.00,-0.0000,25
purpose_A44,,,43,0.0008,1.0000,1.0000,-0.00,-0.00,-0.0000,26
purpose_A45,,,26,0.0056,1.0000,1.0000,-0.00,-0.00,-0.0000,27
purpose_A410,,,5,0.0211,1.0000,1.0000,-0.00,-0.00,-0.0000,28
other_parties_A102,,,13,0.0118,1.0000,1.0000,-0.00,-0.00,-0.0000,29
savings_status_A64,,,30,0.0045,1.0000,1.0000,-0.00,-0.00,-0.0000,30
savings_status_A63,,,8,0.0190,1.0000,1.0000,-0.00,-0.00,-0.0000,31
foreign_worker_A202,,,39,0.0028,1.0000,1.0000,-0.00,-0.00,-0.0000,32
savings_status_A62,,,12,0.0123,1.0000,1.0000,0.00,-0.00,-0.0000,33
personal_status_A92,,,25,0.0064,1.0000,1.0000,0.00,-0.00,-0.0000,34
job_A174,,,44,0.0007,1.0000,1.0000,0.00,-0.00,-0.0000,35
property_magnitude_A122,,,33,0.0040,1.0000,1.0000,0.00,-0.00,-0.0000,36
property_magnitude_A123,,,37,0.0031,1.0000,1.0000,0.00,-0.00,-0.0000,37
other_payment_plans_A142,,,36,0.0031,1.0000,1.0000,0.00,-0.00,-0.0000,38
purpose_A41,,,15,0.0110,0.9992,1.0000,0.00,-0.00,-0.0000,39
other_parties_A103,,,35,0.0032,0.9999,1.0000,0.00,-0.00,-0.0000,40
existing_credits,,,4,0.0257,0.9896,1.0000,0.00,-0.00,-0.0000,41
purpose_A42,,,9,0.0146,0.9998,1.0000,0.00,-0.00,-0.0000,42
employment_A74,,,6,0.0201,0.9959,1.0000,0.00,-0.00,-0.0000,43
checking_status_A13,,,28,0.0047,0.9999,1.0000,0.00,-0.00,-0.0000,44
job_A172,,,27,0.0056,0.9161,1.0000,0.04,-0.00,-0.0000,45
job_A173,,,38,0.0028,0.7214,1.0000,0.14,-0.00,-0.0000,46
savings_status_A65,[T],,16,0.0106,0.7056,1.0000,0.15,-0.00,-0.0000,47
credit_history_A31,[T],,41,0.0019,0.9764,1.0000,0.01,-0.00,-0.0000,48
