Feature,True,Sig,SHAP_Rank,SHAP_Value,P_Value,P_Value_Adj,-log10(p),-log10(p_adj),SiTe_Score,SiTe_Rank
pixel_0450,,***,315,0.0008,0.00e+00,0.00e+00,10.00,10.00,0.0839,1
pixel_0609,,***,620,0.0003,0.00e+00,0.00e+00,10.00,10.00,0.0746,2
pixel_0347,,***,516,0.0004,0.00e+00,0.00e+00,10.00,10.00,0.0659,3
pixel_0411,[T],***,192,0.0011,0.00e+00,0.00e+00,10.00,10.00,0.0494,4
pixel_0434,,***,327,0.0008,0.00e+00,0.00e+00,10.00,10.00,0.0486,5
pixel_0662,,***,100,0.0016,0.00e+00,0.00e+00,10.00,10.00,0.0475,6
pixel_0390,[T],***,359,0.0007,0.00e+00,0.00e+00,10.00,10.00,0.0460,7
pixel_0126,,***,660,0.0002,0.00e+00,0.00e+00,10.00,10.00,0.0421,8
pixel_0684,,***,549,0.0004,0.00e+00,0.00e+00,10.00,10.00,0.0409,9
pixel_0079,,***,461,0.0005,0.00e+00,0.00e+00,10.00,10.00,0.0394,10
pixel_0108,,***,750,0.0000,0.00e+00,0.00e+00,10.00,10.00,0.0381,11
pixel_0361,[T],***,733,0.0001,0.00e+00,0.00e+00,10.00,10.00,0.0380,12
pixel_0221,,***,453,0.0005,0.00e+00,0.00e+00,10.00,10.00,0.0368,13
pixel_0194,,***,205,0.0011,0.00e+00,0.00e+00,10.00,10.00,0.0365,14
pixel_0324,[T],***,241,0.0009,0.00e+00,0.00e+00,10.00,10.00,0.0360,15
pixel_0134,,***,157,0.0013,0.00e+00,0.00e+00,10.00,10.00,0.0353,16
pixel_0262,,***,702,0.0001,0.00e+00,0.00e+00,10.00,10.00,0.0350,17
pixel_0754,,***,357,0.0007,0.00e+00,0.00e+00,10.00,10.00,0.0341,18
pixel_0539,[T],***,174,0.0012,0.00e+00,0.00e+00,10.00,10.00,0.0340,19
pixel_0101,,***,749,0.0000,0.00e+00,0.00e+00,10.00,10.00,0.0331,20
pixel_0579,,***,693,0.0001,0.00e+00,0.00e+00,10.00,10.00,0.0326,21
pixel_0360,,***,588,0.0003,0.00e+00,0.00e+00,10.00,10.00,0.0323,22
pixel_0025,,***,87,0.0017,0.00e+00,0.00e+00,10.00,10.00,0.0322,23
pixel_0712,,***,604,0.0003,0.00e+00,0.00e+00,10.00,10.00,0.0317,24
pixel_0056,,***,560,0.0003,0.00e+00,0.00e+00,10.00,10.00,0.0313,25
pixel_0526,,***,23,0.0032,0.00e+00,0.00e+00,10.00,10.00,0.0312,26
pixel_0080,,***,545,0.0004,0.00e+00,0.00e+00,10.00,10.00,0.0308,27
