Pixel,Coord,True,Sig,SHAP_R,SHAP,P_Value,P_Adj,-log10(p),SiTe_Score,SiTe_R
0,"(0,0)",,***,134,0.1684,0.00e+00,0.00e+00,10.0000,6.7926,1
1,"(0,1)",,***,22,0.1826,0.00e+00,0.00e+00,10.0000,6.4719,2
2,"(0,2)",,***,295,0.1623,2.73e-11,7.13e-09,9.8953,1.8907,3
3,"(0,3)",,***,783,0.1365,1.36e-08,2.66e-06,7.8640,1.2398,4
4,"(0,4)",,***,173,0.1665,1.95e-07,3.06e-05,6.7087,1.0273,5
5,"(0,5)",,***,645,0.1517,4.04e-05,0.0045,4.3941,0.6583,6
6,"(0,6)",,***,625,0.1524,1.70e-05,0.0022,4.7699,0.5586,7
7,"(0,7)",,***,397,0.1593,8.24e-05,0.0081,4.0841,0.4159,8
8,"(0,8)",,***,732,0.1474,1.80e-04,0.0157,3.7440,0.3626,9
9,"(0,9)",,,182,0.1661,0.0084,0.4116,2.0757,0.0979,10
10,"(0,10)",,,459,0.1579,0.0063,0.3687,2.1975,0.0808,11
11,"(0,11)",,,270,0.1632,0.0057,0.3687,2.2440,0.0795,12
12,"(0,12)",,,269,0.1632,0.0053,0.3687,2.2762,0.0791,13
13,"(0,13)",,,389,0.1595,0.0072,0.3745,2.1448,0.0791,14
14,"(0,14)",,,158,0.1670,0.0048,0.3687,2.3178,0.0786,15
15,"(0,15)",,,121,0.1691,0.0066,0.3687,2.1815,0.0771,16
16,"(0,16)",,,602,0.1531,0.0102,0.4314,1.9899,0.0685,17
17,"(0,17)",,,480,0.1570,0.0110,0.4314,1.9584,0.0679,18
18,"(0,18)",,,634,0.1519,0.0108,0.4314,1.9659,0.0657,19
19,"(0,19)",,,756,0.1437,0.0116,0.4330,1.9356,0.0655,20
20,"(0,20)",,,422,0.1588,0.0096,0.4314,2.0182,0.0649,21
21,"(0,21)",,,628,0.1521,0.0130,0.4619,1.8873,0.0605,22
22,"(0,22)",,,526,0.1556,0.0169,0.5757,1.7724,0.0431,23
23,"(0,23)",,,60,0.1737,0.0193,0.6292,1.7153,0.0349,24
24,"(0,24)",,,678,0.1502,0.0231,0.6892,1.6362,0.0289,25
25,"(0,25)",,,319,0.1614,0.0233,0.6892,1.6326,0.0288,26
26,"(0,26)",,,525,0.1556,0.0237,0.6892,1.6246,0.0286,27
27,"(0,27)",,,46,0.1761,0.0258,0.6970,1.5887,0.0276,28
28,"(1,0)",,,289,0.1627,0.0250,0.6970,1.6026,0.0275,29
29,"(1,1)",,,163,0.1669,0.0282,0.7378,1.5492,0.0241,30
30,"(1,2)",,,420,0.1588,0.0331,0.8376,1.4799,0.0137,31
31,"(1,3)",,,195,0.1656,0.0366,0.8418,1.4364,0.0133,32
32,"(1,4)",,,337,0.1610,0.0379,0.8418,1.4219,0.0133,33
33,"(1,5)",,,597,0.1535,0.0368,0.8418,1.4338,0.0131,34
34,"(1,6)",,,220,0.1647,0.0374,0.8418,1.4273,0.0131,35
35,"(1,7)",,,659,0.1511,0.0387,0.8418,1.4128,0.0128,36
36,"(1,8)",,,731,0.1475,0.0399,0.8449,1.3993,0.0127,37
37,"(1,9)",,,412,0.1589,0.0424,0.8639,1.3725,0.0113,38
38,"(1,10)",,,430,0.1587,0.0442,0.8661,1.3547,0.0111,39
39,"(1,11)",,,272,0.1631,0.0430,0.8639,1.3668,0.0110,40
40,"(1,12)",,,385,0.1597,0.0494,0.8693,1.3065,0.0108,41
41,"(1,13)",,,775,0.1402,0.0504,0.8693,1.2975,0.0108,42
42,"(1,14)",,,455,0.1581,0.0470,0.8693,1.3279,0.0107,43
43,"(1,15)",,,73,0.1721,0.0519,0.8693,1.2847,0.0106,44
44,"(1,16)",,,308,0.1618,0.0458,0.8693,1.3393,0.0105,45
45,"(1,17)",,,146,0.1676,0.0532,0.8693,1.2739,0.0105,46
46,"(1,18)",,,142,0.1678,0.0513,0.8693,1.2897,0.0104,47
47,"(1,19)",,,546,0.1552,0.0523,0.8693,1.2819,0.0104,48
48,"(1,20)",,,87,0.1707,0.0573,0.8809,1.2418,0.0097,49
49,"(1,21)",,,234,0.1642,0.0572,0.8809,1.2429,0.0096,50
50,"(1,22)",,,766,0.1424,0.0558,0.8809,1.2530,0.0096,51
51,"(1,23)",,,127,0.1686,0.0596,0.8855,1.2245,0.0093,52
52,"(1,24)",,,122,0.1691,0.0599,0.8855,1.2228,0.0092,53
53,"(1,25)",,,656,0.1513,0.0643,0.9340,1.1916,0.0051,54
54,"(1,26)",,,139,0.1679,0.0663,0.9448,1.1786,0.0042,55
55,"(1,27)",,,386,0.1596,0.0675,0.9455,1.1704,0.0041,56
56,"(2,0)",,,261,0.1634,0.1459,0.9694,0.8359,0.0035,57
57,"(2,1)",,,591,0.1536,0.1594,0.9694,0.7975,0.0030,58
58,"(2,2)",,,432,0.1586,0.1254,0.9694,0.9018,0.0030,59
59,"(2,3)",,,365,0.1604,0.1595,0.9694,0.7973,0.0026,60
60,"(2,4)",,,588,0.1537,0.1016,0.9694,0.9929,0.0024,61
61,"(2,5)",,,248,0.1638,0.1325,0.9694,0.8779,0.0024,62
62,"(2,6)",,,358,0.1606,0.1389,0.9694,0.8572,0.0024,63
63,"(2,7)",,,573,0.1542,0.1284,0.9694,0.8915,0.0024,64
64,"(2,8)",,,538,0.1554,0.0774,0.9694,1.1110,0.0024,65
65,"(2,9)",,,425,0.1588,0.1532,0.9694,0.8146,0.0023,66
66,"(2,10)",,,603,0.1531,0.0864,0.9694,1.0634,0.0023,67
67,"(2,11)",,,320,0.1614,0.1096,0.9694,0.9601,0.0023,68
68,"(2,12)",,,136,0.1681,0.0832,0.9694,1.0801,0.0023,69
69,"(2,13)",,,404,0.1591,0.0850,0.9694,1.0703,0.0023,70
70,"(2,14)",,,340,0.1609,0.1090,0.9694,0.9624,0.0023,71
71,"(2,15)",,,252,0.1637,0.1294,0.9694,0.8882,0.0023,72
72,"(2,16)",,,75,0.1720,0.0766,0.9694,1.1156,0.0023,73
73,"(2,17)",,,403,0.1591,0.1468,0.9694,0.8332,0.0023,74
74,"(2,18)",,,181,0.1661,0.1366,0.9694,0.8645,0.0023,75
75,"(2,19)",,,601,0.1532,0.1250,0.9694,0.9031,0.0023,76
76,"(2,20)",,,67,0.1730,0.0890,0.9694,1.0506,0.0023,77
77,"(2,21)",,,58,0.1740,0.1005,0.9694,0.9977,0.0023,78
78,"(2,22)",,,461,0.1578,0.1505,0.9694,0.8224,0.0023,79
79,"(2,23)",,,444,0.1582,0.1388,0.9694,0.8576,0.0023,80
80,"(2,24)",,,113,0.1696,0.1042,0.9694,0.9820,0.0023,81
81,"(2,25)",,,580,0.1540,0.0927,0.9694,1.0328,0.0023,82
82,"(2,26)",,,371,0.1601,0.1709,0.9694,0.7673,0.0023,83
83,"(2,27)",,,292,0.1626,0.1352,0.9694,0.8689,0.0023,84
84,"(3,0)",,,721,0.1485,0.0882,0.9694,1.0548,0.0023,85
85,"(3,1)",,,260,0.1634,0.1733,0.9694,0.7611,0.0023,86
86,"(3,2)",,,549,0.1551,0.1663,0.9694,0.7791,0.0023,87
87,"(3,3)",,,713,0.1489,0.0781,0.9694,1.1072,0.0023,88
88,"(3,4)",,,654,0.1514,0.1537,0.9694,0.8133,0.0023,89
89,"(3,5)",,,495,0.1566,0.1756,0.9694,0.7555,0.0023,90
90,"(3,6)",,,413,0.1589,0.0860,0.9694,1.0656,0.0023,91
91,"(3,7)",,,100,0.1701,0.1686,0.9694,0.7732,0.0023,92
92,"(3,8)",,,454,0.1581,0.1296,0.9694,0.8873,0.0023,93
93,"(3,9)",,,408,0.1591,0.1184,0.9694,0.9265,0.0023,94
94,"(3,10)",,,287,0.1627,0.0865,0.9694,1.0629,0.0023,95
95,"(3,11)",,,474,0.1573,0.1647,0.9694,0.7834,0.0023,96
96,"(3,12)",,,605,0.1531,0.0769,0.9694,1.1141,0.0023,97
97,"(3,13)",,,696,0.1495,0.1348,0.9694,0.8704,0.0023,98
98,"(3,14)",,,442,0.1583,0.1180,0.9694,0.9281,0.0023,99
99,"(3,15)",,,293,0.1625,0.1698,0.9694,0.7702,0.0023,100
100,"(3,16)",,,229,0.1643,0.0917,0.9694,1.0379,0.0023,101
101,"(3,17)",,,65,0.1732,0.1281,0.9694,0.8924,0.0023,102
102,"(3,18)",,,663,0.1509,0.1358,0.9694,0.8672,0.0023,103
103,"(3,19)",,,103,0.1699,0.1311,0.9694,0.8825,0.0023,104
104,"(3,20)",,,392,0.1594,0.1059,0.9694,0.9750,0.0023,105
105,"(3,21)",,,650,0.1516,0.1295,0.9694,0.8878,0.0023,106
106,"(3,22)",,,59,0.1739,0.1387,0.9694,0.8580,0.0023,107
107,"(3,23)",,,764,0.1428,0.0747,0.9694,1.1266,0.0023,108
108,"(3,24)",,,556,0.1549,0.1468,0.9694,0.8334,0.0023,109
109,"(3,25)",,,205,0.1651,0.1051,0.9694,0.9785,0.0023,110
110,"(3,26)",,,357,0.1606,0.1421,0.9694,0.8475,0.0023,111
111,"(3,27)",,,329,0.1613,0.1342,0.9694,0.8724,0.0023,112
112,"(4,0)",,,246,0.1639,0.1058,0.9694,0.9757,0.0023,113
113,"(4,1)",,,273,0.1631,0.1543,0.9694,0.8117,0.0023,114
114,"(4,2)",,,636,0.1519,0.1659,0.9694,0.7801,0.0023,115
115,"(4,3)",,,725,0.1481,0.1598,0.9694,0.7963,0.0023,116
116,"(4,4)",,,187,0.1660,0.1666,0.9694,0.7783,0.0022,117
117,"(4,5)",,,719,0.1487,0.1166,0.9694,0.9334,0.0022,118
118,"(4,6)",,,49,0.1754,0.1640,0.9694,0.7852,0.0022,119
119,"(4,7)",,,10,0.2208,0.1744,0.9694,0.7585,0.0022,120
120,"(4,8)",,,81,0.1712,0.1600,0.9694,0.7959,0.0022,121
121,"(4,9)",,,145,0.1677,0.1301,0.9694,0.8858,0.0022,122
122,"(4,10)",,,651,0.1516,0.1104,0.9694,0.9571,0.0022,123
123,"(4,11)",,,360,0.1605,0.1585,0.9694,0.8000,0.0022,124
124,"(4,12)",,,402,0.1591,0.1534,0.9694,0.8142,0.0022,125
125,"(4,13)",,,40,0.1773,0.0751,0.9694,1.1246,0.0022,126
126,"(4,14)",,,758,0.1436,0.1184,0.9694,0.9265,0.0022,127
127,"(4,15)",,,682,0.1501,0.1741,0.9694,0.7591,0.0022,128
128,"(4,16)",,,349,0.1607,0.1423,0.9694,0.8468,0.0022,129
129,"(4,17)",,,548,0.1551,0.1515,0.9694,0.8196,0.0022,130
